Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
020017,Alaska Regional Hospital,Anchorage,AK,99508,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,14,262296.4286,29760.71429,28389.28571
050112,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Santa Monica,CA,90404,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,19,156190.0526,42018.31579,39867.84211
050180,John Muir Medical Center - Walnut Creek Campus,Walnut Creek,CA,94598,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,14,297540.0714,34296.14286,32689
050441,Stanford Health Care,Stanford,CA,94305,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,22,355241.4546,54106,44678.18182
050454,Ucsf Medical Center,San Francisco,CA,94143,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,28,231799.7143,52433.39286,45232
050625,Cedars-Sinai Medical Center,Los Angeles,CA,90048,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,13,536067.2308,41733.38462,37365.84615
100006,Orlando Health Orlando Regional Medical Center,Orlando,FL,32806,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,32,186403.9063,22754.46875,21047
100007,Adventhealth Orlando,Orlando,FL,32803,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,17,236116.2353,21410.64706,19624.58824
100012,Lee Memorial Hospital,Fort Myers,FL,33901,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,24,124577.9583,21970.375,20472.625
100128,Tampa General Hospital,Tampa,FL,33606,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTA,12,189337.3333,28533.41667,24932.66667
